frame,y_norm,action,green_area,edge_penalty,death,reward
0,0.30666666666666664,1,1849.5,False,False,0.065
1,0.31833333333333336,1,153.0,False,False,0.08
2,0.5,1,0.0,False,False,0.08
3,0.3383333333333333,0,158.0,False,False,0.065
4,0.40166666666666667,0,156.5,False,False,0.08
5,0.4716666666666667,0,153.0,False,False,0.08
6,0.5816666666666667,0,149.5,False,False,0.08
7,0.66,0,149.0,False,False,0.08
8,0.7616666666666667,1,147.5,False,False,0.065
9,0.755,1,155.0,False,False,0.08
10,0.7533333333333333,1,163.0,False,False,0.08
11,0.7433333333333333,0,157.0,False,False,0.065
12,0.76,0,156.5,False,False,0.08
13,0.7933333333333333,0,156.5,False,False,0.08
14,0.8383333333333334,1,160.0,False,False,0.065
15,0.83,1,156.5,False,False,0.08
16,0.7966666666666666,1,154.0,False,False,0.08
17,0.7483333333333333,0,157.0,False,False,0.065
18,0.74,0,155.5,False,False,0.08
19,0.7533333333333333,0,157.5,False,False,0.08
20,0.7816666666666666,0,156.0,False,False,0.08
21,0.8283333333333334,0,160.0,False,False,0.08
22,0.87,1,153.0,False,False,0.065
23,0.8383333333333334,1,158.0,False,False,0.08
24,0.79,1,158.0,False,False,0.08
25,0.7133333333333334,0,155.5,False,False,0.065
26,0.6933333333333334,0,163.0,False,False,0.08
27,0.6916666666666667,0,162.0,False,False,0.08
28,0.7083333333333334,0,158.0,False,False,0.08
29,0.725,1,158.5,False,False,0.065
30,0.7016666666666667,1,155.5,False,False,0.08
31,0.6533333333333333,1,157.5,False,False,0.08
32,0.5866666666666667,0,158.0,False,False,0.065
33,0.5716666666666667,0,159.0,False,False,0.08
34,0.5733333333333334,0,166.0,False,False,0.08
35,0.5933333333333334,0,156.0,False,False,0.08
36,0.6166666666666667,1,157.0,False,False,0.065
37,0.595,1,159.0,False,False,0.08
38,0.5516666666666666,1,159.5,False,False,0.08
39,0.49,1,160.5,False,False,0.08
40,0.40166666666666667,1,151.0,False,False,0.08
41,0.30333333333333334,1,150.0,False,False,0.08
42,0.235,1,146.5,False,False,0.08
43,0.12666666666666668,1,149.5,False,False,0.08
44,0.12333333333333334,1,157.5,False,False,0.08
45,0.12333333333333334,1,156.0,False,False,0.08
46,0.14166666666666666,0,158.5,False,False,0.065
47,0.17666666666666667,0,157.0,False,False,0.08
48,0.22833333333333333,0,160.0,False,False,0.08
49,0.33166666666666667,0,149.5,False,False,0.08
50,0.41,0,147.0,False,False,0.08
51,0.4583333333333333,0,168.0,False,False,0.08
52,0.5583333333333333,1,149.0,False,False,0.065
53,0.585,1,151.0,False,False,0.08
54,0.5833333333333334,1,163.5,False,False,0.08
55,0.5733333333333334,0,158.0,False,False,0.065
56,0.59,0,156.5,False,False,0.08
57,0.6233333333333333,0,156.5,False,False,0.08
58,0.6683333333333333,1,160.0,False,False,0.065
59,0.66,1,156.5,False,False,0.08
60,0.6266666666666667,1,154.0,False,False,0.08
61,0.5783333333333334,0,157.0,False,False,0.065
62,0.57,0,155.5,False,False,0.08
63,0.5833333333333334,0,157.5,False,False,0.08
64,0.6116666666666667,0,156.0,False,False,0.08
65,0.6483333333333333,1,161.5,False,False,0.065
66,0.6366666666666667,1,157.5,False,False,0.08
67,0.6,1,158.0,False,False,0.08
68,0.5416666666666666,1,157.5,False,False,0.08
69,0.465,1,155.5,False,False,0.08
70,0.36666666666666664,1,154.5,False,False,0.08
71,0.3,1,152.0,False,False,0.08
72,0.17,1,148.5,False,False,0.08
73,0.12666666666666668,1,154.5,False,False,0.08
74,0.125,1,161.5,False,False,0.08
75,0.12333333333333334,1,160.0,False,False,0.08
76,0.14166666666666666,0,160.5,False,False,0.065
77,0.17666666666666667,0,158.0,False,False,0.08
78,0.22833333333333333,0,159.0,False,False,0.08
79,0.33166666666666667,0,149.5,False,False,0.08
80,0.41,0,150.0,False,False,0.08
81,0.47833333333333333,1,151.0,False,False,0.065
82,0.505,1,155.0,False,False,0.08
83,0.5033333333333333,1,164.0,False,False,0.08
84,0.4766666666666667,1,156.0,False,False,0.08
85,0.43,1,159.5,False,False,0.08
86,0.3616666666666667,1,158.5,False,False,0.08
87,0.30666666666666664,1,151.0,False,False,0.08
88,0.17166666666666666,1,153.5,False,False,0.08
89,0.12666666666666668,1,155.0,False,False,0.08
90,0.14166666666666666,0,156.0,False,False,0.065
91,0.175,0,157.0,False,False,0.08
92,0.22833333333333333,0,161.0,False,False,0.08
93,0.33166666666666667,0,146.5,False,False,0.08
94,0.41,0,151.5,False,False,0.08
95,0.4583333333333333,0,157.5,False,False,0.08
96,0.5583333333333333,1,149.0,False,False,0.065
