duration_s,frames,total_jumps,jumps_per_sec,jump_regularity_cv,player_y_std,episode
0.018,1,0,0.0,0.0,0.0,1
23.212,243,43,1.852,0.764,88.54,2
22.179,229,42,1.894,0.779,88.44,3
22.278,227,44,1.975,0.838,86.97,4
22.179,225,44,1.984,0.731,89.67,5
12.238,144,15,1.226,0.667,65.28,6
22.179,219,47,2.119,0.728,88.95,7
22.645,225,47,2.076,0.724,87.75,8
22.23,234,40,1.799,0.775,88.0,9
22.662,230,45,1.986,0.82,89.83,10
21.996,223,44,2.0,0.678,89.4,11
21.996,230,41,1.864,0.675,91.25,12
22.229,231,42,1.889,0.793,89.56,13
21.98,222,44,2.002,0.694,89.17,14
21.996,223,44,2.0,0.718,86.68,15
21.963,227,42,1.912,0.785,88.5,16
22.296,227,44,1.973,0.804,89.97,17
22.212,226,44,1.981,0.796,88.39,18
22.045,222,45,2.041,0.709,89.24,19
22.178,228,43,1.939,0.787,91.15,20
