duration_s,frames,total_jumps,jumps_per_sec,jump_regularity_cv,player_y_std,episode
0.927,8,2,2.158,0.0,0.0,1
12.322,115,29,2.354,0.439,67.79,2
19.214,178,46,2.394,0.493,79.44,3
12.024,123,23,1.913,0.429,63.97,4
12.091,118,26,2.15,0.452,62.47,5
12.04,115,27,2.242,0.461,61.68,6
17.799,179,36,2.023,0.515,74.32,7
11.924,116,26,2.181,0.435,59.78,8
22.095,207,52,2.353,0.459,77.61,9
22.212,212,50,2.251,0.469,78.37,10
17.901,183,35,1.955,0.445,76.45,11
22.612,226,46,2.034,0.557,79.47,12
22.264,224,45,2.021,0.547,78.36,13
19.031,177,45,2.365,0.471,76.61,14
12.308,120,27,2.194,0.442,64.82,15
17.916,178,37,2.065,0.509,75.8,16
22.528,217,50,2.219,0.449,78.55,17
17.985,182,36,2.002,0.57,73.47,18
22.295,216,49,2.198,0.465,79.65,19
19.231,179,45,2.34,0.459,77.49,20
