episode,timestep,reward,length
1,17,3.0100000500679016,17
2,28,-4.799999998882413,11
3,41,-4.739999998360872,13
4,68,0.14000002294778824,27
5,81,-4.569999994710088,13
6,96,-4.509999994188547,15
7,116,-4.549999997019768,20
8,129,-4.699999997392297,13
9,138,-4.900000000372529,9
10,157,-4.589999997988343,19
11,159,-5.0,2
12,164,-4.970000000670552,5
13,185,-4.459999995306134,21
14,198,-4.649999996647239,13
15,226,-3.2199999913573265,28
16,228,-5.0,2
17,248,-4.459999995306134,20
18,258,-4.8099999986588955,10
19,281,-4.30999999307096,23
20,299,-4.5299999956041574,18
21,315,-4.459999993443489,16
22,317,-5.0,2
23,324,-4.789999997243285,7
24,338,-4.649999996647239,14
25,359,-4.339999992400408,21
26,375,-4.459999993443489,16
27,389,-4.609999995678663,14
28,400,-4.78999999910593,11
29,410,-4.799999998882413,10
30,413,-4.949999999254942,3
31,440,-4.069999989122152,27
32,452,-4.749999998137355,12
33,467,-4.609999995678663,15
34,478,-4.709999997168779,11
35,480,-5.0,2
36,494,-4.639999996870756,14
37,504,-4.849999999627471,10
38,529,-4.389999995008111,25
39,531,-5.0,2
40,541,-4.639999995008111,10
41,556,-4.51999999396503,15
42,572,-4.589999996125698,16
43,584,-4.659999996423721,12
44,599,-4.599999995902181,15
45,612,-4.619999995455146,13
46,614,-5.0,2
47,622,-4.699999995529652,8
48,638,-4.459999993443489,16
49,662,-4.149999989196658,24
50,675,-4.659999996423721,13
51,713,0.8900000974535942,38
52,745,-3.979999989271164,32
53,760,-4.549999995157123,15
54,772,-4.709999997168779,12
55,786,-4.559999994933605,14
56,790,-4.899999998509884,4
57,799,-4.689999995753169,9
58,802,-4.949999999254942,3
59,807,-4.889999998733401,5
60,825,-4.32999999076128,18
61,829,-4.899999998509884,4
62,838,-4.649999994784594,9
63,841,-4.949999999254942,3
64,864,-4.30999999307096,23
65,879,-4.559999994933605,15
66,897,-4.3699999917298555,18
67,917,-4.229999989271164,20
68,963,-0.15999997034668922,46
69,982,-4.359999991953373,19
70,999,-4.409999992698431,17
71,1014,-4.51999999396503,15
72,1026,-4.669999996200204,12
73,1049,-4.319999992847443,23
74,1079,-4.169999992474914,30
75,1083,-4.899999998509884,4
76,1088,-4.929999999701977,5
77,1104,-4.469999993219972,16
78,1121,-4.4999999944120646,17
79,1141,-4.309999991208315,20
80,1155,-4.609999995678663,14
81,1172,-4.459999993443489,17
82,1176,-4.949999999254942,4
83,1182,-4.799999997019768,6
84,1196,-4.559999994933605,14
85,1211,-4.469999993219972,15
86,1241,-4.169999992474914,30
87,1255,-4.649999996647239,14
88,1270,-4.599999995902181,15
89,1283,-4.57999999448657,13
90,1287,-4.899999998509884,4
91,1294,-4.74999999627471,7
92,1306,-4.739999998360872,12
93,1309,-4.949999999254942,3
94,1337,-3.9399999864399433,28
95,1339,-5.0,2
96,1350,-4.669999996200204,11
97,1370,-4.34999999217689,20
98,1395,-4.179999990388751,25
99,1416,-4.259999990463257,21
100,1435,-4.269999990239739,19
101,1454,-4.32999999076128,19
102,1468,-4.609999995678663,14
103,1488,-4.1899999883025885,20
104,1506,-4.32999999076128,18
105,1526,-4.309999991208315,20
106,1538,-4.699999997392297,12
107,1550,-4.659999996423721,12
108,1565,-4.559999994933605,15
109,1583,-4.3699999917298555,18
110,1601,-4.3699999917298555,18
111,1603,-5.0,2
112,1613,-4.5999999940395355,10
113,1632,-4.359999991953373,19
114,1648,-4.4999999944120646,16
115,1650,-5.0,2
116,1658,-4.699999995529652,8
117,1681,-3.9899999853223562,23
118,1683,-5.0,2
119,1695,-4.539999993517995,12
120,1712,-4.509999994188547,17
121,1715,-4.949999999254942,3
122,1722,-4.789999997243285,7
123,1735,-4.699999997392297,13
124,1754,-4.409999992698431,19
125,1771,-4.409999992698431,17
126,1784,-4.659999996423721,13
127,1786,-5.0,2
128,1794,-4.739999996498227,8
129,1827,-3.8599999863654375,33
130,1852,-4.30999999307096,25
131,1854,-5.0,2
132,1871,-4.409999992698431,17
133,1887,-4.469999993219972,16
134,1905,-4.3199999909847975,18
135,1924,-4.279999990016222,19
136,1936,-4.709999997168779,12
137,1954,-4.32999999076128,18
138,1958,-4.949999999254942,4
139,1970,-4.539999993517995,12
140,1984,-4.559999994933605,14
141,1999,-4.599999995902181,15
142,2018,-4.32999999076128,19
143,2020,-5.0,2
144,2028,-4.779999997466803,8
145,2042,-4.559999994933605,14
146,2046,-4.949999999254942,4
147,2050,-4.939999999478459,4
148,2067,-4.379999991506338,17
149,2091,-4.189999990165234,24
150,2129,-3.609999982640147,38
151,2148,-4.1899999883025885,19
152,2151,-4.949999999254942,3
153,2155,-4.939999999478459,4
154,2172,-4.32999999076128,17
155,2176,-4.949999999254942,4
156,2181,-4.889999998733401,5
157,2184,-4.949999999254942,3
158,2193,-4.649999994784594,9
159,2208,-4.429999992251396,15
160,2212,-4.899999998509884,4
161,2217,-4.929999999701977,5
162,2236,-4.1899999883025885,19
163,2250,-4.649999996647239,14
164,2271,-4.209999989718199,21
165,2294,-4.119999988004565,23
166,2310,-4.349999990314245,16
167,2329,-4.3199999909847975,19
168,2346,-4.459999993443489,17
169,2391,-3.1399999745190144,45
170,2406,-4.559999994933605,15
171,2410,-4.899999998509884,4
172,2415,-4.889999998733401,5
173,2428,-4.649999996647239,13
174,2443,-4.51999999396503,15
175,2467,-4.069999987259507,24
176,2483,-4.509999994188547,16
177,2521,-3.5199999809265137,38
178,2541,-4.179999988526106,20
179,2558,-4.419999992474914,17
180,2580,-4.159999988973141,22
181,2601,-4.179999988526106,21
182,2621,-4.309999991208315,20
183,2639,-4.399999992921948,18
184,2679,-3.4199999794363976,40
185,2696,-4.4999999944120646,17
186,2716,-4.179999988526106,20
187,2731,-4.559999994933605,15
188,2748,-4.469999993219972,17
189,2765,-4.419999992474914,17
190,2767,-5.0,2
191,2786,-4.269999990239739,19
192,2801,-4.509999994188547,15
193,2818,-4.509999994188547,17
194,2822,-4.899999998509884,4
195,2835,-4.489999992772937,13
196,2837,-5.0,2
197,2844,-4.789999997243285,7
198,2857,-4.569999994710088,13
199,2874,-4.409999992698431,17
200,2876,-5.0,2
201,2884,-4.779999997466803,8
202,2910,-3.88999998383224,26
203,2934,-4.019999986514449,24
204,2956,-4.099999986588955,22
205,2977,-4.219999989494681,21
206,2993,-4.419999992474914,16
207,2996,-4.949999999254942,3
208,3006,-4.5999999940395355,10
209,3024,-4.359999991953373,18
210,3028,-4.949999999254942,4
211,3037,-4.649999994784594,9
212,3074,-3.5299999807029963,37
213,3077,-4.949999999254942,3
214,3086,-4.649999994784594,9
215,3099,-4.649999996647239,13
216,3116,-4.459999993443489,17
217,3135,-4.359999991953373,19
218,3157,-4.179999988526106,22
219,3176,-4.3199999909847975,19
220,3198,-4.329999992623925,22
221,3216,-4.399999992921948,18
222,3234,-4.32999999076128,18
223,3248,-4.609999995678663,14
224,3272,-4.089999986812472,24
225,3274,-5.0,2
226,3283,-4.649999994784594,9
227,3303,-4.3199999909847975,20
228,3324,-4.229999989271164,21
229,3351,-4.049999987706542,27
230,3377,-4.0099999867379665,26
231,3399,-4.169999988749623,22
232,3421,-4.049999985843897,22
233,3423,-5.0,2
234,3427,-4.939999999478459,4
235,3445,-4.2399999890476465,18
236,3466,-4.309999991208315,21
237,3468,-5.0,2
238,3475,-4.789999997243285,7
239,3493,-4.279999990016222,18
240,3516,-4.039999986067414,23
241,3537,-4.219999989494681,21
242,3550,-4.699999997392297,13
243,3574,-4.039999986067414,24
244,3591,-4.299999989569187,17
245,3613,-4.129999987781048,22
246,3616,-4.949999999254942,3
247,3629,-4.489999992772937,13
248,3651,-4.089999986812472,22
249,3676,-3.9299999848008156,25
250,3693,-4.339999990537763,17
251,3716,-4.129999987781048,23
252,3734,-4.3699999917298555,18
253,3749,-4.559999994933605,15
254,3771,-4.169999988749623,22
255,3775,-4.949999999254942,4
256,3784,-4.649999994784594,9
257,3803,-4.229999989271164,19
258,3825,-4.169999988749623,22
259,3841,-4.429999992251396,16
260,3863,-4.13999998755753,22
261,3883,-4.269999990239739,20
262,3901,-4.379999991506338,18
263,3925,-4.029999986290932,24
264,3947,-4.209999989718199,22
265,3967,-4.359999991953373,20
266,4000,-3.8899999875575304,33
267,4018,-4.3199999909847975,18
268,4038,-4.229999989271164,20
269,4058,-4.1899999883025885,20
270,4062,-4.899999998509884,4
271,4076,-4.51999999396503,14
272,4079,-4.949999999254942,3
273,4100,-4.129999987781048,21
274,4118,-4.3699999917298555,18
275,4138,-4.309999991208315,20
276,4160,-4.129999987781048,22
277,4182,-4.089999986812472,22
278,4206,-3.999999985098839,24
279,4226,-4.179999988526106,20
280,4247,-4.13999998755753,21
281,4265,-4.32999999076128,18
282,4301,-3.749999985098839,36
283,4322,-4.13999998755753,21
284,4351,-3.9399999864399433,29
285,4370,-4.199999988079071,19
286,4393,-3.999999985098839,23
287,4415,-4.129999987781048,22
288,4418,-4.949999999254942,3
289,4428,-4.639999995008111,10
290,4449,-4.229999989271164,21
291,4471,-4.089999986812472,22
292,4489,-4.32999999076128,18
293,4507,-4.32999999076128,18
294,4524,-4.419999992474914,17
295,4546,-4.169999988749623,22
296,4564,-4.3699999917298555,18
297,4588,-4.149999989196658,24
298,4622,-3.6799999829381704,34
299,4640,-4.3699999917298555,18
300,4662,-4.089999986812472,22
301,4678,-4.429999992251396,16
302,4701,-3.9899999853223562,23
303,4722,-4.13999998755753,21
304,4747,-3.9799999855458736,25
305,4769,-4.089999986812472,22
306,4795,-3.88999998383224,26
307,4816,-4.179999988526106,21
308,4838,-4.169999988749623,22
309,4862,-4.069999987259507,24
310,4880,-4.289999989792705,18
311,4897,-4.409999992698431,17
312,4916,-4.399999992921948,19
313,4958,-3.42999997921288,42
314,4998,-3.42999997921288,40
315,5018,-4.259999990463257,20
316,5065,-2.5099999606609344,47
317,5086,-4.179999988526106,21
318,5106,-4.229999989271164,20
319,5124,-4.289999989792705,18
320,5143,-4.3199999909847975,19
321,5159,-4.4999999944120646,16
322,5183,-3.9799999855458736,24
323,5204,-4.089999986812472,21
324,5227,-3.9899999853223562,23
325,5250,-3.999999985098839,23
326,5274,-3.9499999843537807,24
327,5294,-4.229999989271164,20
328,5312,-4.32999999076128,18
329,5334,-4.089999986812472,22
330,5356,-4.089999986812472,22
331,5373,-4.419999992474914,17
332,5390,-4.339999990537763,17
333,5411,-4.129999987781048,21
334,5432,-4.129999987781048,21
335,5457,-3.9799999855458736,25
336,5481,-3.939999984577298,24
337,5507,-3.8499999828636646,26
338,5529,-3.999999985098839,22
