episode,timestep,reward,length
1,14,1.4000000357627869,14
2,34,-1.970000021159649,20
3,47,-4.699999997392297,13
4,58,-4.749999998137355,11
5,71,-4.669999996200204,13
6,85,-4.559999994933605,14
7,103,-4.5299999956041574,18
8,105,-5.0,2
9,125,-3.759999979287386,20
10,139,-4.609999995678663,14
11,161,-4.339999992400408,22
12,164,-4.949999999254942,3
13,174,-4.719999996945262,10
14,176,-5.0,2
15,184,-4.900000000372529,8
16,192,-4.9400000013411045,8
17,206,-4.719999998807907,14
18,217,-4.759999997913837,11
19,230,-4.689999997615814,13
20,261,0.6399999298155308,31
21,278,-4.53999999538064,17
22,290,-4.749999998137355,12
23,305,-4.629999997094274,15
24,308,-4.949999999254942,3
25,316,-4.819999998435378,8
26,327,-4.8099999986588955,11
27,338,-4.78999999910593,11
28,348,-4.839999999850988,10
29,363,-4.719999998807907,15
30,372,-4.8900000005960464,9
31,387,-4.759999999776483,15
32,406,-4.479999994859099,19
33,418,-4.739999998360872,12
34,431,-4.769999999552965,13
35,447,-4.6599999982863665,16
36,450,-4.949999999254942,3
37,454,-4.939999999478459,4
38,462,-4.8599999994039536,8
39,471,-4.8900000005960464,9
40,499,-4.399999996647239,28
41,510,-4.759999997913837,11
42,519,-4.819999998435378,9
43,531,-4.699999997392297,12
44,541,-4.8900000005960464,10
45,553,-4.749999998137355,12
46,563,-4.799999998882413,10
47,575,-4.699999997392297,12
48,583,-4.9400000013411045,8
49,596,-4.779999999329448,13
50,598,-5.0,2
51,607,-4.8099999986588955,9
52,609,-5.0,2
53,613,-4.939999999478459,4
54,624,-4.749999998137355,11
55,633,-4.849999999627471,9
56,644,-4.78999999910593,11
57,653,-4.8900000005960464,9
58,664,-4.749999998137355,11
59,676,-4.669999996200204,12
60,691,-4.759999999776483,15
61,724,-4.2799999956041574,33
62,737,-4.810000000521541,13
63,751,-4.72999999858439,14
64,764,-4.769999999552965,13
65,773,-4.819999998435378,9
66,783,-4.849999999627471,10
67,794,-4.799999998882413,11
68,804,-4.849999999627471,10
69,822,-4.5299999956041574,18
70,841,-4.389999993145466,19
71,858,-4.569999996572733,17
72,870,-4.699999997392297,12
73,882,-4.709999997168779,12
74,912,-4.319999996572733,30
75,922,-4.839999999850988,10
76,931,-4.8900000005960464,9
77,939,-4.9400000013411045,8
78,949,-4.8900000005960464,10
79,952,-4.949999999254942,3
80,957,-4.889999998733401,5
81,973,-4.619999997317791,16
82,985,-4.699999997392297,12
83,1000,-4.51999999396503,15
84,1009,-4.9400000013411045,9
85,1020,-4.749999998137355,11
86,1038,-4.489999994635582,18
87,1049,-4.78999999910593,11
