episode,timestep,reward,length
1,44,17.740000307559967,44
2,63,-4.279999990016222,19
3,99,-3.769999984651804,36
4,114,-4.51999999396503,15
5,128,-4.609999995678663,14
6,179,5.21540641784668e-08,51
7,198,-4.279999990016222,19
8,223,-4.179999990388751,25
9,258,-3.7599999848753214,35
10,299,-3.4199999794363976,41
11,341,-3.459999980404973,42
12,355,-4.479999992996454,14
13,374,-4.279999990016222,19
14,403,-3.889999985694885,29
15,438,-3.799999985843897,35
16,454,-4.469999993219972,16
17,498,-3.269999977201224,44
18,514,-4.429999992251396,16
19,533,-4.3199999909847975,19
20,565,-3.699999982491136,32
21,584,-4.279999990016222,19
22,624,-3.4999999813735485,40
23,660,-3.739999985322356,36
24,694,-3.769999984651804,34
25,732,-3.569999981671572,38
26,767,-3.7599999848753214,35
27,779,-4.669999996200204,12
28,805,-4.129999989643693,26
29,831,-4.0899999886751175,26
30,858,-3.989999987185002,27
31,894,-3.669999983161688,36
32,923,-3.899999985471368,29
33,951,-3.989999987185002,28
34,994,-3.359999978914857,43
35,1030,-3.629999982193112,36
36,1068,-3.559999981895089,38
37,1100,-3.789999984204769,32
38,1128,-3.989999987185002,28
39,1159,-3.799999983981252,31
40,1199,-3.42999997921288,40
41,1229,-3.8099999837577343,30
42,1259,-3.889999985694885,30
43,1307,-3.2699999790638685,48
44,1334,-4.039999987930059,27
45,1370,-3.7099999841302633,36
46,1374,-4.899999998509884,4
47,1401,-3.989999987185002,27
48,1438,-3.609999982640147,37
49,1475,-3.659999983385205,37
50,1516,-3.379999978467822,41
51,1538,-4.209999989718199,22
52,1610,7.130000121891499,72
53,1643,-3.8599999863654375,33
54,1679,-3.749999985098839,36
55,1706,-4.11999998986721,27
56,1746,-3.42999997921288,40
57,1788,-3.329999977722764,42
58,1838,-3.209999978542328,50
59,1941,15.740000322461128,103
60,1977,-3.669999983161688,36
61,2015,-3.609999982640147,38
62,2050,-3.719999983906746,35
63,2064,-4.51999999396503,14
64,2119,-2.9099999740719795,55
65,2140,-4.179999988526106,21
66,2182,-3.329999977722764,42
67,2213,-3.839999984949827,31
68,2259,-3.2899999786168337,46
69,2306,-3.119999974966049,47
70,2344,-3.559999981895089,38
71,2385,-3.3699999786913395,41
72,2423,-3.569999981671572,38
73,2439,-4.619999997317791,16
74,2567,13.220000194385648,128
75,2676,-0.4999999403953552,109
76,2751,-2.039999961853028,75
77,2843,-1.3799999542534351,92
78,2869,-4.049999987706542,26
79,2963,-1.4799999576061964,94
80,2984,-4.179999988526106,21
81,3067,-1.7599999587982893,83
82,3113,-3.239999977871776,46
83,3132,-4.279999990016222,19
84,3170,-3.569999981671572,38
85,3207,-3.5799999814480543,37
86,3224,-4.4999999944120646,17
87,3262,-3.569999981671572,38
88,3293,-3.799999983981252,31
89,3330,-3.5799999814480543,37
90,3431,-0.9399999473243952,101
91,3506,-1.999999960884452,75
92,3536,-3.889999985694885,30
93,3553,-4.379999991506338,17
94,3590,-3.5799999814480543,37
95,3605,-4.559999994933605,15
96,3619,-4.609999995678663,14
97,3644,-4.179999990388751,25
98,3689,-3.3799999803304672,45
99,3727,-3.8099999874830246,38
100,3773,-3.359999980777502,46
101,3788,-4.549999995157123,15
102,3871,-2.0399999655783176,83
103,3913,-3.5299999825656414,42
104,3969,-2.9399999752640724,56
105,3994,-4.139999989420176,25
106,4069,-2.2399999666959047,75
107,4139,-2.3199999667704105,70
108,4212,-2.229999965056777,73
109,4232,-4.34999999217689,20
110,4324,-1.4999999571591616,92
111,4365,-3.459999980404973,41
112,4391,-4.0899999886751175,26
113,4440,-3.1399999763816595,49
114,4493,-2.899999972432852,53
115,4544,-3.079999975860119,51
116,4587,-3.2399999760091305,43
117,4610,-4.189999990165234,23
118,4658,-3.389999981969595,48
119,4710,-2.8299999702721834,52
120,4748,-3.569999981671572,38
121,4825,-2.0899999644607306,77
122,4866,-3.2899999767541885,41
123,4963,-1.2199999522417784,97
124,4997,-3.769999984651804,34
125,5090,-1.4999999571591616,93
126,5160,-2.489999970421195,70
127,5191,-3.839999984949827,31
128,5285,-1.409999955445528,94
129,5299,-4.649999996647239,14
130,5386,-1.719999959692359,87
131,5424,-3.559999981895089,38
132,5438,-4.649999996647239,14
133,5480,-3.2899999767541885,42
134,5497,-4.459999993443489,17
135,5565,-2.589999971911311,68
136,5591,-4.129999989643693,26
137,5634,-3.359999978914857,43
138,5727,-1.4499999564141035,93
139,5842,-0.7599999494850636,115
140,5892,-3.1699999775737524,50
141,5984,-1.509999956935644,92
142,6042,-2.7599999718368053,58
143,6140,-1.0899999495595694,98
144,6224,-1.979999965056777,84
145,6336,-0.7599999476224184,112
146,6409,-2.2499999664723878,73
147,6504,-1.3199999537318945,95
148,6518,-4.569999994710088,14
149,6590,-2.309999966993928,72
150,6661,-2.23999996483326,71
151,6756,-1.3199999537318945,95
152,6848,-1.539999958127737,92
153,6937,-1.6599999591708183,89
154,7031,-1.409999955445528,94
155,7135,-0.9899999499320984,104
156,7171,-3.589999981224537,36
157,7262,-1.5999999586492777,91
158,7361,-1.1499999519437551,99
159,7415,-2.8499999716877937,54
160,7430,-4.439999992027879,15
161,7526,-1.229999952018261,96
162,7618,-1.4999999571591616,92
163,7686,-2.429999968037009,68
164,7776,-1.6499999593943355,90
165,7849,-2.1699999645352364,73
166,7882,-3.899999987334013,33
167,7938,-2.829999972134829,56
168,7986,-3.059999974444509,48
169,8060,-2.04999996162951,74
170,8148,-1.7899999618530271,88
