episode,timestep,reward,length
1,48,20.020000398159027,48
2,140,20.39000034891069,92
3,159,-4.279999990016222,19
4,177,-4.279999990016222,18
5,258,-1.4899999517947435,81
6,315,-2.5399999655783176,57
7,413,2.230000104755163,98
8,595,44.9500008225441,182
9,682,-1.1599999461323023,87
10,770,-1.2299999482929707,88
11,863,-1.1799999494105577,93
12,957,-0.9599999450147152,94
13,1028,-1.8299999553710222,71
14,1030,-5.0,2
15,1109,-1.789999958127737,79
16,1205,-0.9899999462068081,96
17,1272,-2.119999960064888,67
18,1285,-4.529999993741512,13
19,1373,-1.3899999521672726,88
20,1464,-1.1099999472498894,91
21,1539,-1.83999995701015,75
22,1632,-0.9699999447911978,93
23,1649,-4.32999999076128,17
24,1735,-1.3999999519437551,86
25,1820,-1.6599999573081732,85
26,1906,-1.4399999529123306,86
27,1994,-1.2599999494850636,88
28,2051,-2.579999966546893,57
29,2142,-1.1599999479949474,91
30,2159,-4.419999992474914,17
31,2250,-1.069999946281314,91
32,2343,-0.9299999438226223,93
33,2433,-1.2799999509006739,90
34,2529,-0.8699999433010817,96
35,2562,-3.6199999805539846,33
36,2653,-1.199999948963523,91
37,2746,-0.9699999447911978,93
38,2819,-1.889999957755208,73
39,2901,-1.6799999568611383,82
40,2921,-4.359999991953373,20
41,3015,-1.0799999479204416,94
42,3075,-2.5799999684095383,60
43,3170,-1.0299999471753836,95
44,3260,-1.2399999499320984,90
45,3417,1.6200000885874033,157
46,3431,-4.609999995678663,14
47,3445,-4.599999995902181,14
48,3534,-1.329999951645732,89
49,3623,-1.1299999468028545,89
50,3721,-0.7999999430030584,98
51,3815,-1.0399999469518661,94
52,3913,-1.0399999488145113,98
53,4002,-1.299999950453639,89
54,4096,-1.0799999479204416,94
55,4193,-1.0499999485909939,97
56,4285,-1.0599999465048313,92
57,4355,-2.1299999617040157,70
58,4434,-1.7199999559670687,79
59,4619,3.020000109449029,185
60,4710,-1.1099999472498894,91
61,4814,-0.6699999421834946,104
62,4868,-2.7999999709427357,54
63,4961,-1.329999953508377,93
64,5049,-1.37999995239079,88
65,5122,-1.969999959692359,73
66,5162,-3.3399999774992466,40
67,5254,-1.1499999482184649,92
68,5342,-1.219999948516488,88
69,5378,-3.459999978542328,36
70,5456,-1.6899999547749758,78
71,5553,-0.7699999418109655,97
72,5642,-1.16999994777143,89
73,5730,-1.3399999514222145,88
74,5815,-1.3299999497830868,85
75,5889,-1.9299999587237835,74
76,5980,-1.1099999472498894,91
77,6071,-1.2699999511241913,91
78,6143,-2.1099999621510506,72
79,6227,-1.6199999563395977,84
80,6308,-1.6199999544769526,81
81,6409,-0.8099999446421862,101
82,6483,-1.8499999567866325,74
83,6572,-1.299999950453639,89
84,6749,2.3300000969320536,177
85,6848,-1.0299999490380287,99
86,6876,-3.869999984279275,28
87,6959,-1.6399999558925629,83
88,7043,-1.5899999551475048,84
89,7132,-1.459999954327941,89
90,7185,-2.8499999716877937,53
91,7358,2.060000091791153,173
92,7426,-2.1899999622255564,68
93,7513,-1.4399999529123306,87
94,7569,-2.659999968484044,56
95,7652,-1.7199999578297138,83
96,7687,-3.509999979287386,35
97,7771,-1.6199999563395977,84
98,7857,-1.479999953880906,86
99,8026,1.6600000839680433,169
100,8112,-1.559999955818057,86
101,8194,-1.5199999529868364,82
102,8282,-1.459999954327941,88
103,8360,-1.999999962747097,78
104,8412,-2.8599999714642763,52
105,8494,-1.6799999568611383,82
106,8571,-1.9699999615550041,77
107,8649,-2.0399999637156725,78
108,8793,0.8500000759959221,144
109,8809,-4.419999992474914,16
110,8891,-1.7599999587982893,82
111,8962,-2.069999961182475,71
112,9048,-1.479999953880906,86
113,9129,-1.7699999585747719,81
114,9207,-1.999999962747097,78
115,9283,-2.2199999671429396,76
116,9366,-1.8299999609589577,83
117,9442,-1.8299999572336674,76
118,9474,-3.7799999844282866,32
119,9554,-1.899999961256981,80
120,9635,-1.7699999585747719,81
121,9714,-1.7499999571591616,79
122,9733,-4.309999991208315,19
123,9822,-1.4199999533593655,89
124,9892,-2.519999971613288,70
125,9968,-2.099999964237213,76
126,9986,-4.359999991953373,18
127,10059,-2.2499999664723873,73
128,10143,-1.7499999590218067,84
129,10231,-1.37999995239079,88
130,10306,-2.1099999640136957,75
131,10392,-1.559999955818057,86
132,10469,-2.049999963492155,77
133,10500,-3.7599999830126762,31
134,10584,-1.3899999503046274,84
135,10665,-1.529999952763319,81
136,10754,-1.2899999506771564,89
137,10835,-1.6499999556690454,81
138,10923,-1.3099999502301216,88
139,11021,-1.0399999488145113,98
140,11115,-1.2499999515712261,94
141,11193,-1.7999999579042196,78
142,11250,-2.5699999667704105,57
143,11308,-2.5199999660253525,58
144,11388,-1.8599999602884054,80
145,11479,-1.2799999509006739,91
146,11563,-1.5399999544024467,84
147,11746,2.550000099465251,183
148,11780,-3.559999980032444,34
149,11868,-1.299999950453639,88
150,11948,-1.8599999602884054,80
151,12036,-1.2299999482929707,88
152,12205,1.9900000914931297,169
153,12286,-1.7299999576061964,81
154,12363,-1.8499999586492777,77
155,12446,-1.5899999551475048,83
156,12530,-1.5399999544024467,84
157,12612,-1.7599999587982893,82
158,12699,-1.3099999502301216,87
159,12778,-1.7199999559670687,79
160,12884,-0.6099999416619539,106
161,12962,-1.9699999615550041,78
162,13018,-2.579999966546893,56
163,13180,1.5100000835955143,162
164,13259,-1.789999958127737,79
165,13337,-1.839999958872795,78
166,13415,-1.9599999617785215,78
167,13492,-2.049999963492155,77
168,13508,-4.379999991506338,16
169,13572,-2.299999963492155,64
170,13646,-2.1999999657273293,74
171,13807,1.180000076070428,161
172,13826,-4.269999990239739,19
173,13902,-2.099999964237213,76
174,13985,-1.5899999551475048,83
175,14062,-2.0099999625235796,77
176,14084,-4.07999998703599,22
177,14165,-1.7799999583512545,81
178,14246,-1.689999956637621,81
179,14326,-1.8299999590963125,80
180,14455,0.18000006675720215,129
181,14530,-2.1999999657273293,75
182,14594,-2.2599999625235796,64
183,14671,-2.0099999625235796,77
184,14686,-4.469999993219972,15
185,14765,-1.869999960064888,79
186,14844,-1.869999960064888,79
187,14917,-1.969999959692359,73
188,14972,-2.5899999663233757,55
189,15054,-1.6799999568611383,82
190,15133,-1.5499999523162842,79
191,15216,-1.6299999561160803,83
192,15297,-1.7299999576061964,81
193,15362,-2.2099999617785215,65
194,15446,-1.5399999544024467,84
195,15530,-1.5799999553710222,84
196,15616,-1.3599999509751797,86
197,15697,-1.689999956637621,81
198,15788,-1.1899999491870403,91
199,15980,7.230000199750066,192
200,16071,-1.069999946281314,91
201,16130,-2.429999964311719,59
202,16216,-1.4399999529123306,86
203,16304,-1.3399999514222145,88
204,16386,-1.479999952018261,82
205,16476,-1.329999951645732,90
206,16564,-1.299999950453639,88
207,16642,-1.6399999540299177,78
208,16715,-1.809999955818057,73
209,16798,-1.4399999510496855,83
210,16883,-1.2899999488145113,85
211,16967,-1.6199999563395977,84
212,17053,-1.4499999526888132,86
213,17154,-0.9299999475479126,101
214,17241,-1.349999951198697,87
215,17331,-1.329999951645732,90
216,17413,-1.5999999549239874,82
217,17503,-1.119999947026372,90
218,17590,-1.3999999519437551,87
219,17666,-1.7399999555200338,76
220,17754,-1.1499999463558197,88
221,17863,-0.44999993965029716,109
222,17922,-2.3899999633431435,59
223,18003,-1.4099999498575926,81
224,18091,-1.1399999465793371,88
225,18174,-1.349999949336052,83
226,18254,-1.4999999515712261,80
227,18363,-0.5699999425560236,109
228,18497,0.9100000821053982,134
229,18651,1.3100000824779272,154
230,18721,-2.249999964609742,70
231,18802,-1.529999952763319,81
232,18947,0.8700000755488873,145
233,19091,0.6600000709295273,144
234,19207,-0.42999994195997715,116
235,19342,0.050000060349702835,135
236,19432,-1.3699999526143074,90
237,19461,-3.7299999818205833,29
238,19551,-1.3199999518692493,90
239,19726,2.0700000915676355,175
240,19874,0.8900000751018524,148
241,19957,-1.4699999522417784,83
242,20098,0.5500000696629286,141
243,20207,-0.7299999464303255,109
244,20350,0.6100000701844692,143
245,20577,21.70000028423965,227
246,20694,-0.48999994434416294,117
247,20776,-1.60999995470047,82
248,20921,0.6300000697374344,145
249,20996,-1.7999999560415745,75
250,21074,-1.7599999569356441,78
251,21224,1.1200000792741776,150
252,21349,-0.05999993719160557,125
253,21498,1.030000077560544,149
254,21574,-1.7799999564886093,76
255,21728,1.2800000812858343,154
256,21765,-3.4499999787658453,37
257,21991,4.380000123754144,226
258,22160,1.9000000897794962,169
259,22274,-0.3199999388307333,114
260,22453,2.210000092163682,179
261,22530,-1.6499999538064003,77
262,22684,1.3200000822544098,154
263,22776,-1.069999946281314,92
264,22919,0.7300000730901957,143
265,23162,12.450000133365393,243
266,23262,-0.7399999424815178,100
267,23299,-3.329999975860119,37
268,23428,0.19000006653368473,129
269,23517,-1.16999994777143,89
270,23554,-3.329999975860119,37
271,23671,-0.24999993853271008,117
272,23875,3.4100001100450754,204
273,24017,0.9200000781565905,142
274,24166,1.1500000804662704,149
275,24320,1.3200000822544098,154
276,24382,-2.2399999611079693,62
277,24582,3.5500001162290573,200
278,24677,-0.9599999450147152,95
279,24780,-0.5899999402463436,103
280,24932,1.2600000817328691,152
281,25031,-0.6699999403208494,99
282,25093,-2.2399999611079693,62
283,25251,1.6400000881403685,158
284,25340,-1.0499999448657036,89
285,25452,-0.4999999422580004,112
286,25602,1.160000080242753,150
287,25764,1.8400000911206007,162
288,25858,-0.8799999430775642,94
289,26048,3.040000107139349,190
290,26167,-0.069999935105443,119
291,26286,-0.11999993585050106,119
292,26438,1.500000087544322,152
293,26537,-0.6699999403208494,99
294,26626,-1.089999945834279,89
295,26725,-0.7199999410659075,99
296,26882,1.7000000905245543,157
297,27012,0.48000007309019566,130
298,27138,0.27000007033348083,126
299,27295,1.7100000903010368,157
300,27532,5.080000136047602,237
301,27614,-1.39999995008111,82
302,27652,-3.3199999760836363,38
303,27812,1.6600000876933336,160
304,28002,3.330000115558505,190
305,28088,-1.1999999471008778,86
306,28164,-1.6199999526143074,76
307,28195,-3.5899999793618917,31
308,28261,-2.0499999579042196,66
309,28331,-1.809999953955412,70
310,28420,-1.0999999456107616,89
311,28573,1.3000000827014446,153
312,28675,-0.5599999390542507,102
313,28828,1.3100000824779272,153
314,28931,-0.5199999380856752,103
315,29086,1.4900000859051943,155
316,29186,-0.6599999405443668,100
317,29276,-1.119999947026372,90
318,29442,1.8400000892579556,166
319,29600,1.4800000842660666,158
320,29699,-0.7499999422580004,99
321,29858,1.3300000801682472,159
322,29955,-0.889999944716692,97
323,29983,-3.789999982342124,28
324,30135,1.2200000807642937,152
325,30373,5.0300001334398985,238
326,30468,-0.9899999462068081,95
327,30566,-0.7999999430030584,98
328,30736,1.6800000835210085,170
329,30846,-0.4399999398738146,110
330,31086,4.920000130310655,240
331,31150,-2.1799999605864286,64
332,31235,-1.3799999505281448,85
333,31310,-1.7999999560415745,75
334,31464,1.3200000822544098,154
335,31490,-3.8799999840557575,26
336,31583,-1.0899999476969242,93
337,31739,1.3800000827759504,156
338,31848,-0.44999993965029716,109
339,31961,-0.299999937415123,113
340,32118,1.6300000883638859,157
341,32262,0.9000000767409801,144
342,32414,1.1800000797957182,152
343,32514,-0.7099999412894249,100
344,32668,1.3600000832229853,154
345,32771,-0.4699999373406172,103
346,32928,1.4100000839680433,157
347,33080,1.2500000819563866,152
348,33223,0.7700000740587711,143
349,33283,-2.3399999625980854,60
350,33287,-4.899999998509884,4
351,33431,0.9400000777095556,144
352,33538,-0.4799999389797449,107
353,33689,1.1700000800192356,151
354,33794,-0.6099999416619539,105
355,33874,-1.5499999523162842,80
356,34030,1.5000000856816769,156
357,34142,-0.4199999403208494,112
358,34198,-2.579999966546893,56
359,34449,9.78000015206635,251
360,34549,-0.8199999444186687,100
361,34807,9.05000015348196,258
362,34949,0.6800000723451376,142
363,35046,-0.809999942779541,97
364,35174,0.3000000696629286,128
365,35331,1.6700000893324614,157
366,35452,0.0700000673532486,121
367,35548,-0.7799999415874481,96
368,35588,-3.21999997459352,40
369,35685,-0.8199999425560236,97
370,35842,1.6200000885874033,157
371,36016,2.3100000973790884,174
372,36098,-1.3599999491125345,82
373,36197,-0.6699999403208494,99
374,36298,-0.6199999395757914,101
375,36442,0.9800000786781311,144
376,36541,-0.7099999412894249,99
377,36614,-1.6999999526888132,73
378,36705,-1.119999947026372,91
379,37018,35.440000496804714,313
380,37297,6.9100001603364944,279
381,37327,-3.6799999810755253,30
382,37481,1.4800000861287117,154
383,37569,-1.2699999492615461,88
384,37660,-1.1499999482184649,91
385,37757,-0.8599999435245991,97
386,37797,-3.3399999774992466,40
387,37890,-1.0599999465048313,93
388,38049,1.6900000888854265,159
389,38146,-0.7699999418109655,97
390,38236,-1.249999949708581,90
391,38384,0.980000076815486,148
392,38404,-4.259999990463257,20
393,38561,1.2200000789016485,157
394,38840,6.320000145584345,279
395,38915,-1.7999999560415745,75
396,39066,1.0900000780820847,151
397,39170,-0.6199999414384365,104
398,39281,-0.429999940097332,111
399,39426,0.8300000745803118,145
400,39584,1.2700000796467066,158
401,39682,-0.7999999430030584,98
402,39822,0.33000006526708603,140
403,39939,-0.28999993950128555,117
404,40082,0.6100000701844692,143
405,40195,-0.6099999453872442,113
406,40311,-0.3499999400228262,116
407,40405,-1.0399999469518661,94
408,40529,-0.09999993816018105,124
409,40670,0.43000006675720215,141
410,40706,-3.459999978542328,36
411,40833,0.09000006504356861,127
412,40972,0.2500000633299351,139
413,41097,0.11000006645917892,125
414,41218,-0.08999993652105331,121
415,41359,0.4700000677257776,141
416,41476,-0.3699999414384365,117
417,41617,0.46000006794929504,141
418,41731,-0.5599999446421862,114
419,41872,0.5100000686943531,141
420,41988,-0.42999994195997715,116
421,42116,0.22000006772577763,128
422,42243,0.3300000708550215,127
423,42365,0.12000006809830666,122
424,42509,0.7400000728666782,144
425,42656,0.8800000753253698,147
426,42754,-0.889999944716692,98
427,42899,0.6300000697374344,145
428,43038,0.3600000664591789,139
429,43185,0.770000072196126,147
430,43267,-1.369999948889017,82
431,43411,0.7000000718981028,144
432,43561,1.0400000773370266,150
433,43676,-0.1599999349564314,115
434,43678,-5.0,2
435,43811,0.3500000685453415,133
436,43959,0.9400000758469105,148
437,44119,2.250000102445483,160
438,44417,6.860000150278211,298
439,44546,0.38000007160007954,129
440,44660,-0.11999993398785591,114
441,44753,-0.8899999428540468,93
442,44827,-1.7699999548494816,74
443,45048,3.6300001069903374,221
444,45204,1.260000079870224,156
445,45314,-0.19999993406236172,110
446,45450,0.8500000797212124,136
447,45573,0.13000006787478924,123
448,45709,0.8100000787526369,136
449,45827,6.705522537231445e-08,118
450,45972,0.7100000716745853,145
451,46151,2.130000090226531,179
452,46338,2.910000106319785,187
453,46340,-5.0,2
454,46496,1.4600000847131014,156
455,46585,-0.9799999427050352,89
456,46732,0.9700000770390034,147
457,46850,-0.11999993585050106,118
458,47006,1.4500000849366188,156
459,47108,-0.5599999390542507,102
460,47259,1.1300000790506601,151
461,47521,6.210000151768327,262
462,47673,1.3000000827014446,152
463,47849,2.3000000957399607,176
464,47874,-3.939999984577298,25
465,47986,-0.18999993428587914,112
466,48101,-0.1499999351799488,115
467,48352,5.710000144317746,251
468,48387,-3.479999978095293,35
469,48552,1.9000000916421413,165
470,48644,-0.909999942407012,92
471,48878,4.180000115185976,234
472,49032,1.4000000841915607,154
473,49154,0.2000000700354576,122
474,49246,-0.8599999416619539,92
475,49469,4.560000129044056,223
476,49630,1.8700000923126936,161
477,49666,-3.4199999775737524,36
478,49835,2.030000092461705,169
479,49967,0.6200000755488873,132
480,50216,5.250000134110451,249
481,50246,-3.6799999810755253,30
482,50349,-0.5199999380856752,103
483,50435,-1.3199999500066042,86
484,50578,0.930000077933073,143
485,50669,-1.0299999453127384,91
486,50820,1.3300000838935375,151
487,50939,-0.19999993778765202,119
488,51100,1.6300000865012407,161
489,51185,-1.2499999478459358,85
490,51324,0.45000006817281246,139
491,51458,0.6800000760704279,134
492,51621,1.6100000850856304,163
493,51638,-4.32999999076128,17
494,51671,-3.5699999798089266,33
495,51830,1.4900000840425491,159
496,51926,-0.8599999435245991,96
497,51979,-2.689999967813492,53
498,52073,-0.8399999421089888,94
499,52226,1.4300000853836536,153
500,52482,5.640000140294433,256
501,52575,-0.9799999445676804,93
502,52687,-0.299999937415123,112
503,52773,-1.3199999500066042,86
504,52925,1.1000000778585672,152
505,52994,-1.9799999576061964,69
506,53089,-1.1299999486654997,95
507,53237,0.9400000758469105,148
508,53384,0.9200000762939453,147
509,53542,1.390000082552433,158
510,53887,24.630000283941627,345
511,54018,0.6100000757724047,131
512,54106,-1.1499999463558197,88
513,54186,-1.3399999476969242,80
514,54268,-1.319999948143959,82
515,54404,0.780000077560544,136
516,54445,-3.2099999748170376,41
517,54597,1.3000000827014446,152
518,54753,1.4100000839680433,156
519,54854,-0.6499999407678843,101
520,54933,-1.5499999523162842,79
521,55155,4.550000129267573,222
522,55335,2.2200000919401646,180
523,55486,1.1300000790506601,151
524,55797,7.630000162869692,311
525,55932,0.570000072941184,135
526,56075,0.7300000730901957,143
527,56104,-3.689999980852008,29
528,56189,-1.2099999468773603,85
529,56410,4.340000124648213,221
530,56566,1.180000077933073,156
531,56721,1.1700000781565905,155
532,56804,-1.3099999483674765,83
533,56959,1.1600000783801079,155
534,57102,0.7700000740587711,143
535,57258,1.1400000769644976,156
536,57346,-1.219999948516488,88
537,57489,0.3300000634044409,143
538,57605,-0.3799999412149191,116
539,57734,0.3900000713765621,129
540,57877,0.6100000701844692,143
541,58030,0.9000000730156898,153
542,58114,-1.2999999485909939,84
543,58273,1.3700000811368227,159
544,58380,-0.5899999421089888,107
545,58521,0.6300000716000795,141
546,58626,-0.5699999406933784,105
547,58751,0.07000006549060345,125
548,58882,0.5300000738352537,131
549,59056,2.000000089406967,174
550,59138,-1.319999948143959,82
551,59316,1.9600000865757465,178
552,59395,-1.4699999503791332,79
553,59558,1.6100000850856304,163
554,59650,-0.8999999426305294,92
555,59824,1.9600000884383917,174
556,59906,-1.319999948143959,82
557,60059,1.3100000824779272,153
558,60078,-4.269999990239739,19
559,60144,-2.0799999590963125,66
560,60420,6.250000145286322,276
561,60493,-1.8599999565631151,73
562,60623,0.28000006824731827,130
563,60775,0.9400000739842653,152
564,61092,7.49000015668571,317
565,61186,-0.9199999440461397,94
566,61289,-0.6299999412149191,103
567,61411,-0.07999993674457073,122
568,61567,1.3000000808387995,156
569,61737,1.720000084489584,170
570,61890,1.3500000834465027,153
571,61955,-2.169999960809946,65
572,62125,1.640000082552433,170
573,62155,-3.6799999810755253,30
574,62277,-0.039999935775995255,122
575,62413,0.7000000756233931,136
576,62592,2.0100000873208046,179
577,62749,1.390000082552433,157
578,62929,2.1400000900030136,180
579,63099,1.720000084489584,170
580,63247,1.1000000797212124,148
581,63425,2.160000091418624,178
582,63576,1.0900000780820847,151
583,63740,1.700000086799264,164
584,63920,2.2200000919401646,180
585,64003,-1.349999949336052,83
586,64155,1.370000084862113,152
587,64258,-0.5899999402463436,103
588,64444,2.440000094473362,186
589,64517,-1.6999999526888132,73
590,64688,1.640000082552433,171
591,64770,-1.2799999471753836,82
592,64953,2.290000092238188,183
593,65028,-1.549999950453639,75
594,65139,-0.2399999350309372,111
595,65281,1.0000000800937414,142
596,65578,6.650000145658851,297
597,65794,4.110000122338533,216
598,65882,-1.2599999494850636,88
599,66050,1.5000000800937414,168
600,66166,-0.22999993711709976,116
601,66285,-0.039999933913350105,119
602,66454,1.430000077933073,169
603,66562,-0.41999993845820427,108
604,66914,12.360000213608146,352
605,66944,-3.6799999810755253,30
606,66975,-3.5899999793618917,31
607,66977,-5.0,2
608,66984,-4.789999997243285,7
609,67075,-1.0299999453127384,91
610,67194,0.010000066831707954,119
611,67327,0.5400000736117363,133
612,67491,1.570000084117055,164
613,67588,-0.8999999444931746,97
614,67740,1.1800000797957182,152
615,68030,6.55000014603138,290
616,68171,0.5900000706315041,141
617,68264,-0.9299999438226223,93
618,68354,-0.9999999441206455,90
619,68501,0.8500000741332769,147
620,68651,0.8400000724941492,150
621,68805,1.000000074505806,154
622,68868,-2.2399999611079693,63
623,69005,0.5900000724941492,137
624,69122,-0.12999993562698364,117
625,69240,-0.11999993585050106,118
626,69382,0.670000072568655,142
627,69504,0.08000006712973118,122
628,69626,0.08000006712973118,122
629,69778,0.9700000751763582,152
630,69893,-0.26999993808567524,115
631,70146,5.530000139027834,253
632,70308,1.5500000845640898,162
633,70402,-0.8799999430775642,94
634,70658,5.63000014051795,256
635,70686,-3.789999982342124,28
636,70862,1.9800000879913568,176
637,70951,-1.249999949708581,89
638,71119,1.220000073313713,168
639,71205,-1.3199999500066042,86
640,71360,1.130000077188015,155
641,71411,-2.9099999722093344,51
642,71564,0.9800000749528408,153
643,71682,-0.3999999426305294,118
644,71858,1.690000081434846,176
645,71939,-1.60999995470047,81
646,72205,5.550000132992864,266
647,72450,5.010000130161643,245
648,72565,-0.26999993808567524,115
649,72593,-3.739999981597066,28
650,72861,6.05000014603138,268
651,72926,-2.1299999598413706,65
652,72963,-3.3699999768286943,37
653,73087,-0.179999940097332,124
654,73238,0.8800000734627247,151
655,73377,0.33000006526708603,139
656,73475,-0.889999944716692,98
657,73619,0.300000062212348,144
658,73856,4.460000120103359,237
659,73970,-0.43999994173645973,114
660,73990,-4.269999990239739,20
661,74132,0.43000006675720215,142
662,74392,5.280000129714608,260
