episode,timestep,reward,length
1,7,-2.37,7
2,61,20.620000000000015,54
3,118,-1.62,57
4,132,-4.57,14
5,151,-4.4399999999999995,19
6,194,-3.3899999999999992,43
7,246,-2.949999999999999,52
8,248,-5.0,2
9,294,-3.0399999999999987,46
10,358,0.8699999999999992,64
11,460,17.440000000000012,102
12,472,-4.66,12
13,518,-3.319999999999999,46
14,532,-4.61,14
15,534,-5.0,2
16,605,-2.4000000000000017,71
17,626,-4.34,21
18,638,-4.67,12
19,660,-4.199999999999999,22
20,672,-4.66,12
21,723,-3.239999999999999,51
22,736,-4.62,13
23,772,-3.9099999999999997,36
24,798,-4.25,26
25,809,-4.76,11
26,822,-4.62,13
27,868,-3.369999999999999,46
28,880,-4.7,12
29,920,-3.7899999999999996,40
30,955,-3.9599999999999995,35
31,967,-4.7,12
32,981,-4.56,14
33,995,-4.6,14
34,1016,-4.34,21
35,1034,-4.48,18
36,1049,-4.52,15
37,1084,-3.6799999999999993,35
38,1086,-5.0,2
39,1123,-3.6899999999999995,37
40,1145,-4.199999999999999,22
41,1161,-4.63,16
42,1210,-3.089999999999999,49
43,1238,-4.029999999999999,28
44,1258,-4.35,20
45,1278,-4.34,20
46,1300,-4.25,22
47,1346,-3.1999999999999993,46
48,1384,-3.7999999999999994,38
49,1397,-4.61,13
50,1399,-5.0,2
51,1408,-4.77,9
52,1411,-4.95,3
53,1425,-4.48,14
54,1446,-4.34,21
55,1456,-4.76,10
56,1477,-4.25,21
57,1493,-4.63,16
58,1511,-4.48,18
59,1553,-3.6499999999999995,42
60,1591,-3.8799999999999994,38
61,1593,-5.0,2
62,1603,-4.72,10
63,1621,-4.49,18
64,1662,-3.5299999999999994,41
65,1672,-4.8,10
66,1696,-4.109999999999999,24
67,1708,-4.75,12
68,1718,-4.72,10
69,1776,-2.9199999999999995,58
70,1820,-3.459999999999999,44
71,1834,-4.61,14
72,1847,-4.66,13
73,1858,-4.75,11
74,1885,-4.2299999999999995,27
75,1924,-3.5899999999999994,39
76,1946,-4.25,22
77,1965,-4.4399999999999995,19
78,1974,-4.89,9
79,2037,-2.7599999999999993,63
80,2048,-4.76,11
81,2060,-4.62,12
82,2071,-4.67,11
83,2094,-4.2299999999999995,23
84,2114,-4.35,20
85,2153,-3.669999999999999,39
86,2167,-4.57,14
87,2219,-3.269999999999999,52
88,2235,-4.58,16
89,2275,-3.6999999999999993,40
90,2322,-3.269999999999999,47
91,2366,-3.349999999999999,44
92,2382,-4.47,16
93,2405,-4.199999999999999,23
94,2452,-3.319999999999999,47
95,2467,-4.48,15
96,2482,-4.51,15
97,2495,-4.62,13
98,2514,-4.35,19
99,2532,-4.53,18
100,2571,-3.7699999999999996,39
101,2611,-3.579999999999999,40
102,2652,-3.5299999999999994,41
103,2654,-5.0,2
104,2698,-3.219999999999999,44
105,2719,-4.25,21
106,2744,-4.01,25
107,2788,-3.339999999999999,44
108,2800,-4.7,12
109,2844,-3.379999999999999,44
110,2865,-4.25,21
111,2916,-2.989999999999999,51
112,2936,-4.3,20
113,2938,-5.0,2
114,2998,-2.72,60
115,3046,-3.219999999999999,48
116,3090,-3.379999999999999,44
117,3113,-4.1899999999999995,23
118,3158,-3.299999999999999,45
119,3202,-3.339999999999999,44
120,3238,-3.8999999999999995,36
121,3279,-3.579999999999999,41
122,3323,-3.339999999999999,44
123,3401,-2.140000000000003,78
124,3455,-2.809999999999999,54
125,3506,-2.949999999999999,51
126,3556,-3.089999999999999,50
127,3654,-1.2600000000000073,98
128,3667,-4.66,13
129,3716,-3.129999999999999,49
130,3725,-4.77,9
131,3745,-4.35,20
132,3798,-2.859999999999999,53
133,3868,-2.2200000000000015,70
134,3919,-3.0299999999999985,51
135,3964,-3.209999999999999,45
136,3988,-4.06,24
137,4036,-3.179999999999999,48
138,4087,-2.949999999999999,51
139,4100,-4.61,13
140,4164,-2.5900000000000007,64
141,4293,12.57,129
