episode,timestep,task,reward,length
1,21,2,6.103999999999997,21
2,31,4,-1.11,10
3,60,1,1.4840000000000009,29
4,121,4,19.506000000000007,61
5,136,3,-6.384,15
6,146,4,-1.11,10
7,159,0,-4.66,13
8,176,3,-6.3,17
9,199,1,-4.263999999999999,23
10,223,4,2.014000000000001,24
11,244,3,-6.356,21
12,258,3,-6.496,14
13,270,4,-0.6499999999999999,12
14,311,4,5.738000000000007,41
15,335,4,1.942000000000001,24
16,347,0,-4.79,12
17,358,1,-5.248,11
18,372,2,-2.4519999999999995,14
19,393,4,1.4140000000000006,21
20,405,4,-0.6499999999999999,12
21,439,1,-3.3060000000000005,34
22,464,0,-4.21,25
23,481,3,-6.188000000000001,17
24,493,4,-0.6199999999999997,12
25,504,3,-6.776,11
26,539,3,-5.768,35
27,554,2,-2.2799999999999994,15
28,581,0,-4.029999999999999,27
29,600,1,-4.4879999999999995,19
30,612,0,-4.7,12
31,627,3,-6.37,15
32,640,2,-2.4879999999999995,13
33,671,2,-0.4159999999999977,31
34,692,3,-6.3,21
35,704,3,-6.58,12
36,733,1,-3.7479999999999998,29
37,759,3,-5.894,26
38,782,4,1.7600000000000007,23
39,797,3,-6.314,15
40,820,4,1.7300000000000013,23
41,857,2,0.4800000000000013,37
42,896,1,-2.816000000000001,39
43,929,4,3.9100000000000055,33
44,956,0,-4.109999999999999,27
45,969,2,-2.5519999999999996,13
46,980,0,-4.84,11
47,984,0,-4.9,4
48,989,2,-3.544,5
49,1000,0,-4.84,11
50,1012,2,-2.7319999999999998,12
51,1034,3,-6.23,22
52,1046,2,-2.6999999999999997,12
53,1070,4,2.0200000000000014,24
54,1085,3,-6.314,15
55,1097,4,-0.6499999999999999,12
56,1136,0,-3.669999999999999,39
57,1147,4,-0.8740000000000001,11
58,1172,0,-4.38,25
59,1183,4,-0.8559999999999999,11
60,1215,2,-0.25199999999999756,32
61,1246,1,-3.5759999999999996,31
62,1268,2,-1.4279999999999986,22
63,1301,1,-3.3680000000000003,33
64,1330,4,3.1640000000000033,29
65,1341,1,-5.308,11
66,1345,0,-4.9,4
67,1350,3,-6.902,5
68,1386,2,0.4120000000000017,36
69,1399,1,-4.9319999999999995,13
70,1410,3,-6.65,11
71,1414,1,-5.73,4
72,1435,0,-4.29,21
73,1445,2,-2.94,10
74,1459,3,-6.454,14
75,1474,3,-6.37,15
76,1500,4,2.426000000000002,26
77,1536,3,-5.586,36
78,1549,1,-5.04,13
79,1562,0,-4.69,13
80,1565,2,-3.76,3
81,1573,3,-6.692,8
82,1590,2,-1.9999999999999991,17
83,1635,4,6.778000000000008,45
84,1648,3,-6.454,13
85,1650,4,-2.8,2
86,1665,0,-4.63,15
87,1701,1,-3.0260000000000007,36
88,1713,4,-0.6439999999999997,12
89,1722,4,-1.334,9
90,1736,1,-4.93,14
91,1739,4,-2.57,3
92,1745,3,-6.776,6
93,1747,1,-5.95,2
94,1763,0,-4.58,16
95,1773,0,-4.8,10
96,1775,3,-7.0,2
97,1780,1,-5.716,5
98,1807,2,-0.6239999999999979,27
99,1817,2,-2.972,10
100,1821,0,-4.95,4
101,1827,3,-6.832,6
102,1877,3,-4.8999999999999995,50
103,1892,1,-4.76,15
104,1904,2,-2.6999999999999997,12
105,1935,1,-3.5759999999999996,31
106,1948,0,-4.7,13
107,1975,3,-5.698,27
108,1989,4,-0.1419999999999999,14
109,2001,0,-4.75,12
110,2004,2,-3.76,3
111,2008,2,-3.684,4
112,2019,4,-0.8799999999999999,11
113,2032,1,-4.992,13
114,2034,4,-2.8,2
115,2040,3,-6.888,6
116,2066,3,-5.824,26
117,2087,4,1.306,21
118,2123,3,-5.586,36
119,2154,4,3.672000000000004,31
120,2168,2,-2.3799999999999994,14
121,2179,0,-4.8,11
122,2195,3,-6.37,16
123,2208,3,-6.51,13
124,2227,3,-5.978,19
125,2242,2,-2.2399999999999993,15
126,2266,0,-4.35,24
127,2306,2,0.9240000000000004,40
128,2309,1,-5.84,3
129,2316,3,-6.706,7
130,2353,0,-3.8599999999999994,37
131,2369,3,-6.314,16
132,2372,3,-6.93,3
133,2377,0,-4.89,5
134,2409,1,-3.1300000000000003,32
135,2442,0,-4.01,33
136,2456,3,-6.454,14
137,2482,2,-0.8679999999999981,26
138,2494,0,-4.74,12
139,2538,3,-4.984,44
140,2551,2,-2.4559999999999995,13
141,2563,3,-6.594,12
142,2579,2,-2.067999999999999,16
143,2594,0,-4.59,15
144,2621,0,-4.119999999999999,27
145,2640,4,0.8220000000000001,19
146,2654,3,-6.454,14
147,2669,3,-6.4399999999999995,15
148,2693,2,-1.2119999999999984,24
149,2706,2,-2.5199999999999996,13
150,2719,4,-0.4139999999999997,13
151,2721,1,-5.95,2
152,2726,0,-4.93,5
153,2741,4,0.14200000000000035,15
154,2754,1,-5.028,13
155,2767,4,-0.41999999999999993,13
156,2781,2,-2.3799999999999994,14
157,2806,1,-3.9119999999999995,25
158,2809,2,-3.76,3
159,2818,0,-4.69,9
160,2831,2,-2.5279999999999996,13
161,2845,3,-6.454,14
162,2870,1,-3.9119999999999995,25
163,2907,0,-3.7699999999999996,37
164,2919,1,-5.138,12
165,2944,4,2.274000000000002,25
166,2960,4,0.29400000000000004,16
167,2962,1,-5.95,2
168,2988,4,2.432000000000002,26
169,2992,4,-2.34,4
170,3000,3,-6.636,8
171,3011,1,-5.2,11
172,3024,0,-4.65,13
173,3063,1,-2.5040000000000013,39
174,3095,4,3.7160000000000046,32
175,3113,1,-4.766,18
176,3140,1,-3.6919999999999997,27
177,3171,2,-0.3199999999999976,31
178,3185,0,-4.6,14
179,3199,0,-4.5600000000000005,14
180,3209,2,-2.972,10
181,3224,4,0.07000000000000028,15
182,3238,1,-4.87,14
183,3253,1,-4.76,15
184,3266,0,-4.7,13
185,3277,2,-2.84,11
186,3291,1,-4.87,14
187,3302,0,-4.8,11
188,3316,3,-6.51,14
189,3343,1,-3.6919999999999997,27
190,3356,1,-4.98,13
191,3368,4,-0.6259999999999999,12
192,3378,4,-1.08,10
193,3421,3,-5.502,43
194,3447,0,-4.08,26
195,3460,4,-0.36599999999999966,13
196,3476,0,-4.51,16
197,3492,0,-4.5,16
198,3522,4,3.4420000000000046,30
199,3559,3,-5.278,37
200,3561,4,-2.8,2
201,3566,1,-5.716,5
202,3569,2,-3.76,3
203,3574,1,-5.716,5
204,3602,2,-0.48399999999999777,28
205,3632,1,-3.2060000000000004,30
206,3670,3,-5.334,38
