episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/explained_variance,train/learning_rate
1,33,15.220676183700562,33,11.450000047683716,11.450000047683716,33,,,,,,,
2,74,5.946201324462891,41,-0.7899999618530273,11.450000047683716,41,,,,,,,
3,88,2.146897077560425,14,-4.649999996647239,11.450000047683716,41,,,,,,,
4,130,6.078286647796631,42,-3.799999987706542,11.450000047683716,42,-0.004200137802399695,6.36214953660965,-0.692446731030941,0.0016648629680275917,0.0,-0.0022401809692382812,0.00025
5,152,3.4962053298950195,22,-4.399999994784594,11.450000047683716,42,-0.004200137802399695,6.36214953660965,-0.692446731030941,0.0016648629680275917,0.0,-0.0022401809692382812,0.00025
6,175,3.779662609100342,23,-4.469999996945262,11.450000047683716,42,-0.004200137802399695,6.36214953660965,-0.692446731030941,0.0016648629680275917,0.0,-0.0022401809692382812,0.00025
7,190,2.414278507232666,15,-4.549999995157123,11.450000047683716,42,-0.004200137802399695,6.36214953660965,-0.692446731030941,0.0016648629680275917,0.0,-0.0022401809692382812,0.00025
8,230,5.844386100769043,40,-3.829999988898635,11.450000047683716,42,-0.004200137802399695,6.36214953660965,-0.692446731030941,0.0016648629680275917,0.0,-0.0022401809692382812,0.00025
9,262,5.37847375869751,32,-4.179999994114041,11.450000047683716,42,0.00041886523831635714,3.7358645498752594,-0.6855023577809334,0.00408569909632206,0.046875,0.13862091302871704,0.00025
10,297,5.161846876144409,35,-4.049999991431832,11.450000047683716,42,0.00041886523831635714,3.7358645498752594,-0.6855023577809334,0.00408569909632206,0.046875,0.13862091302871704,0.00025
11,310,2.397961139678955,13,-4.739999998360872,11.450000047683716,42,0.00041886523831635714,3.7358645498752594,-0.6855023577809334,0.00408569909632206,0.046875,0.13862091302871704,0.00025
12,332,3.3960986137390137,22,-4.449999995529652,11.450000047683716,42,0.00041886523831635714,3.7358645498752594,-0.6855023577809334,0.00408569909632206,0.046875,0.13862091302871704,0.00025
13,353,3.613295078277588,21,-4.529999997466803,11.450000047683716,42,0.00041886523831635714,3.7358645498752594,-0.6855023577809334,0.00408569909632206,0.046875,0.13862091302871704,0.00025
14,411,9.741132497787476,58,4.88000001385808,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
15,426,2.497464656829834,15,-4.649999996647239,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
16,439,2.065072536468506,13,-4.659999996423721,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
17,473,4.89827036857605,34,-4.129999993368983,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
18,475,1.146392822265625,2,-5.0,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
19,483,1.6135082244873047,8,-4.8599999994039536,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
20,494,2.0652506351470947,11,-4.799999998882413,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
21,507,2.182262420654297,13,-4.689999997615814,11.450000047683716,58,-0.0002567030460340902,0.8903721570968628,-0.6781086474657059,4.228856414556503e-05,0.0,0.34278929233551025,0.00025
