episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/loss,train/distill_loss,train/distill_coef,train/learning_rate,rollout/exploration_rate
1,19,3.827181100845337,19,4.070000052452087,4.070000052452087,19,,,,,0.9992574999999999
2,22,1.1324164867401123,3,-4.949999999254942,4.070000052452087,19,,,,,0.9991337499999998
3,26,1.4157061576843262,4,-4.939999999478459,4.070000052452087,19,,,,,0.9989687499999998
4,36,2.098205089569092,10,-4.759999997913837,4.070000052452087,19,,,,,0.99855625
5,46,1.981527328491211,10,-4.839999999850988,4.070000052452087,19,,,,,0.9981437499999999
6,50,1.1146445274353027,4,-4.949999999254942,4.070000052452087,19,,,,,0.9979787499999999
7,54,1.1652846336364746,4,-4.939999999478459,4.070000052452087,19,,,,,0.9978137499999999
8,67,2.032202959060669,13,-4.649999996647239,4.070000052452087,19,,,,,0.9972775000000001
9,69,1.1322383880615234,2,-5.0,4.070000052452087,19,,,,,0.9971949999999999
10,91,4.064153671264648,22,-3.019999984651804,4.070000052452087,22,,,,,0.9962874999999999
11,105,2.3306384086608887,14,-4.599999995902181,4.070000052452087,22,,,,,0.9957100000000001
12,122,2.0974297523498535,17,-4.429999992251396,4.070000052452087,22,,,,,0.9950087499999999
13,124,1.1319308280944824,2,-5.0,4.070000052452087,22,,,,,0.9949262500000001
14,128,1.315702199935913,4,-4.939999999478459,4.070000052452087,22,,,,,0.9947612500000002
15,158,4.229804992675781,30,-0.6299999747425318,4.070000052452087,30,,,,,0.99352375
16,175,2.2811837196350098,17,-4.3699999917298555,4.070000052452087,30,,,,,0.9928224999999998
17,203,4.245399236679077,28,-4.26999999396503,4.070000052452087,30,,,,,0.9916675
18,207,1.1148607730865479,4,-4.949999999254942,4.070000052452087,30,,,,,0.9915025000000001
19,212,1.2988061904907227,5,-4.889999998733401,4.070000052452087,30,,,,,0.9912962500000001
20,227,2.1650476455688477,15,-4.509999994188547,4.070000052452087,30,,,,,0.9906775000000001
21,242,2.397310972213745,15,-4.549999995157123,4.070000052452087,30,,,,,0.9900587500000001
22,254,2.382567882537842,12,-4.749999998137355,4.070000052452087,30,,,,,0.9895637500000002
23,276,3.062920331954956,22,-4.319999992847443,4.070000052452087,30,,,,,0.98865625
24,290,2.1808412075042725,14,-4.599999995902181,4.070000052452087,30,,,,,0.9880787499999999
25,312,3.6970903873443604,22,-4.449999995529652,4.070000052452087,30,,,,,0.9871712499999998
26,325,2.1143651008605957,13,-4.699999997392297,4.070000052452087,30,,,,,0.986635
27,339,2.081326961517334,14,-4.649999996647239,4.070000052452087,30,,,,,0.9860574999999999
28,351,2.215038776397705,12,-4.709999997168779,4.070000052452087,30,,,,,0.9855624999999999
29,377,4.662759065628052,26,-4.409999996423721,4.070000052452087,30,,,,,0.9844899999999999
30,392,2.496201276779175,15,-4.549999995157123,4.070000052452087,30,,,,,0.9838712499999999
31,405,2.2810885906219482,13,-4.709999997168779,4.070000052452087,30,,,,,0.983335
32,419,2.4147181510925293,14,-4.639999996870756,4.070000052452087,30,,,,,0.9827574999999998
33,449,4.279784440994263,30,-4.169999992474914,4.070000052452087,30,,,,,0.9815199999999998
34,460,2.1975317001342773,11,-4.839999999850988,4.070000052452087,30,,,,,0.9810662500000001
35,462,1.1333370208740234,2,-5.0,4.070000052452087,30,,,,,0.98098375
36,484,3.396243095397949,22,-4.359999993816018,4.070000052452087,30,,,,,0.9800762499999999
37,522,4.79489541053772,38,0.35000008530914783,4.070000052452087,38,,,,,0.9785087499999999
38,543,3.480224370956421,21,-4.449999995529652,4.070000052452087,38,,,,,0.9776425000000001
39,545,1.133244514465332,2,-5.0,4.070000052452087,38,,,,,0.9775599999999999
40,549,1.1314854621887207,4,-4.980000000447035,4.070000052452087,38,,,,,0.9773949999999999
41,562,2.1978580951690674,13,-4.749999998137355,4.070000052452087,38,,,,,0.9768587500000001
42,574,2.3482930660247803,12,-4.78999999910593,4.070000052452087,38,,,,,0.9763637500000001
43,584,2.3142924308776855,10,-4.799999998882413,4.070000052452087,38,,,,,0.97595125
44,642,8.29177975654602,58,6.790000036358833,6.790000036358833,58,,,,,0.97355875
45,657,1.9479162693023682,15,-4.559999994933605,6.790000036358833,58,,,,,0.97294
46,670,2.1816911697387695,13,-4.689999997615814,6.790000036358833,58,,,,,0.9724037499999998
47,672,1.1333644390106201,2,-5.0,6.790000036358833,58,,,,,0.97232125
48,677,1.2976305484771729,5,-4.929999999701977,6.790000036358833,58,,,,,0.9721150000000002
49,705,4.328915119171143,28,-4.179999992251396,6.790000036358833,58,,,,,0.9709599999999999
50,746,6.227537155151367,41,-3.909999990835786,6.790000036358833,58,,,,,0.9692687500000001
51,762,2.6313083171844482,16,-4.53999999538064,6.790000036358833,58,,,,,0.9686087499999999
52,779,2.164494752883911,17,-4.459999993443489,6.790000036358833,58,,,,,0.9679075
53,781,1.1322555541992188,2,-5.0,6.790000036358833,58,,,,,0.9678249999999999
54,786,1.2978413105010986,5,-4.929999999701977,6.790000036358833,58,,,,,0.96761875
55,795,2.016049861907959,9,-4.8900000005960464,6.790000036358833,58,,,,,0.9672475000000001
56,809,2.346972703933716,14,-4.609999995678663,6.790000036358833,58,,,,,0.96667
57,819,2.232442855834961,10,-4.8900000005960464,6.790000036358833,58,,,,,0.9662574999999999
58,834,2.4634807109832764,15,-4.589999996125698,6.790000036358833,58,,,,,0.9656387499999999
59,837,1.1332919597625732,3,-4.949999999254942,6.790000036358833,58,,,,,0.9655150000000001
60,849,1.9804978370666504,12,-4.659999996423721,6.790000036358833,58,,,,,0.9650199999999998
61,878,4.445941209793091,29,-4.179999992251396,6.790000036358833,58,,,,,0.9638237500000001
62,893,2.5643961429595947,15,-4.639999996870756,6.790000036358833,58,,,,,0.963205
63,923,4.462258338928223,30,-4.089999990537763,6.790000036358833,58,,,,,0.9619675
64,938,2.198038101196289,15,-4.569999994710088,6.790000036358833,58,,,,,0.96134875
65,952,1.9314022064208984,14,-4.699999997392297,6.790000036358833,58,,,,,0.9607712499999999
66,964,2.4481616020202637,12,-4.749999998137355,6.790000036358833,58,,,,,0.9602762499999999
67,999,4.196053743362427,35,-3.749999985098839,6.790000036358833,58,,,,,0.9588325
68,1001,1.1322543621063232,2,-5.0,6.790000036358833,58,,,,,0.9587500000000001
69,1005,1.2988033294677734,4,-4.980000000447035,6.790000036358833,58,43.12678527832031,0.030462738126516342,0.9749,5e-05,0.9585850000000001
70,1018,2.215541362762451,13,-4.609999995678663,6.790000036358833,58,56.334049224853516,0.02325744368135929,0.9746,5e-05,0.9580487499999999
71,1029,2.096816301345825,11,-4.709999997168779,6.790000036358833,58,14.66029167175293,0.036941252648830414,0.9742999999999999,5e-05,0.9575949999999999
72,1043,2.5978705883026123,14,-4.639999996870756,6.790000036358833,58,0.6112146377563477,0.048116352409124374,0.974,5e-05,0.9570175000000002
73,1062,3.4301064014434814,19,-4.509999996051192,6.790000036358833,58,28.687999725341797,0.029509956017136574,0.9735,5e-05,0.9562337500000001
74,1072,2.1988375186920166,10,-4.839999999850988,6.790000036358833,58,58.03262710571289,0.028967726975679398,0.9733,5e-05,0.9558212500000001
75,1074,1.1644721031188965,2,-5.0,6.790000036358833,58,29.157644271850586,0.03343699872493744,0.9732,5e-05,0.9557387499999999
76,1078,1.3642959594726562,4,-4.980000000447035,6.790000036358833,58,14.122869491577148,0.026665614917874336,0.9731,5e-05,0.9555737499999999
77,1091,1.9832184314727783,13,-4.569999994710088,6.790000036358833,58,42.60359191894531,0.015737509354948997,0.9728,5e-05,0.9550375
78,1114,3.512655735015869,23,-4.319999992847443,6.790000036358833,58,15.55084228515625,0.022177720442414284,0.9722,5e-05,0.95408875
79,1126,2.232081651687622,12,-4.78999999910593,6.790000036358833,58,28.1602783203125,0.02806539461016655,0.9719,5e-05,0.95359375
80,1138,2.1965153217315674,12,-4.749999998137355,6.790000036358833,58,29.056072235107422,0.034482426941394806,0.9716,5e-05,0.9530987500000001
81,1140,1.1321580410003662,2,-5.0,6.790000036358833,58,,,,,0.9530162499999999
82,1146,1.39939546585083,6,-4.970000000670552,6.790000036358833,58,56.61100769042969,0.030886942520737648,0.9714,5e-05,0.9527687500000002
83,1155,1.8156216144561768,9,-4.849999999627471,6.790000036358833,58,28.55942153930664,0.027047455310821533,0.9712,5e-05,0.9523974999999999
84,1157,1.1818552017211914,2,-5.0,6.790000036358833,58,0.1259554624557495,0.03573913499712944,0.9711,5e-05,0.9523150000000001
85,1168,1.4319217205047607,11,-4.589999994263053,6.790000036358833,58,43.77357482910156,0.02260206826031208,0.9709,5e-05,0.9518612500000001
86,1170,1.1815028190612793,2,-5.0,6.790000036358833,58,56.57212829589844,0.029567433521151543,0.9708,5e-05,0.9517787499999999
87,1176,1.3819961547851562,6,-4.879999998956919,6.790000036358833,58,14.989631652832031,0.033392347395420074,0.9707,5e-05,0.9515312500000002
88,1185,2.3318092823028564,9,-4.900000000372529,6.790000036358833,58,58.13276672363281,0.03222907707095146,0.9704,5e-05,0.9511599999999999
89,1198,2.047529458999634,13,-4.709999997168779,6.790000036358833,58,42.383934020996094,0.025052625685930252,0.9701,5e-05,0.95062375
90,1212,2.1986773014068604,14,-4.609999995678663,6.790000036358833,58,14.954798698425293,0.03520588204264641,0.9698,5e-05,0.9500462499999999
91,1223,2.2312264442443848,11,-4.759999997913837,6.790000036358833,58,56.71109390258789,0.029531240463256836,0.9695,5e-05,0.9495924999999998
92,1235,2.6130828857421875,12,-4.739999998360872,6.790000036358833,58,14.00933837890625,0.027762703597545624,0.9692,5e-05,0.9490974999999999
93,1247,2.331990957260132,12,-4.749999998137355,6.790000036358833,58,14.424138069152832,0.03891444578766823,0.9689,5e-05,0.9486025
94,1258,2.3971352577209473,11,-4.839999999850988,6.790000036358833,58,55.993309020996094,0.0678413063287735,0.9686,5e-05,0.94814875
95,1280,3.5639684200286865,22,-4.409999994561076,6.790000036358833,58,15.216392517089844,0.033656828105449677,0.9681,5e-05,0.9472412499999998
96,1302,3.5132687091827393,22,-4.369999993592501,6.790000036358833,58,69.6666030883789,0.03688611090183258,0.9675,5e-05,0.9463337500000002
97,1314,2.1817502975463867,12,-4.669999996200204,6.790000036358833,58,15.363829612731934,0.03282513841986656,0.9672,5e-05,0.9458387499999998
98,1327,2.3801662921905518,13,-4.699999997392297,6.790000036358833,58,15.588689804077148,0.017201922833919525,0.9669,5e-05,0.9453024999999999
99,1329,1.165482759475708,2,-5.0,6.790000036358833,58,41.27338409423828,0.023943403735756874,0.9668,5e-05,0.9452200000000002
100,1336,1.4649932384490967,7,-4.829999998211861,6.790000036358833,58,55.23125457763672,0.05232228711247444,0.9667,5e-05,0.9449312500000001
101,1351,2.3824453353881836,15,-4.51999999396503,6.790000036358833,58,14.610276222229004,0.011036491021513939,0.9663,5e-05,0.9443125000000001
102,1363,1.980356216430664,12,-4.709999997168779,6.790000036358833,58,14.372453689575195,0.019757390022277832,0.966,5e-05,0.9438175000000002
103,1374,2.3315837383270264,11,-4.709999997168779,6.790000036358833,58,28.33037567138672,0.01766834408044815,0.9657,5e-05,0.9433637500000001
104,1387,2.364703893661499,13,-4.739999998360872,6.790000036358833,58,55.380924224853516,0.020091217011213303,0.9654,5e-05,0.9428274999999999
105,1389,1.1651501655578613,2,-5.0,6.790000036358833,58,28.21854019165039,0.021914001554250717,0.9653,5e-05,0.942745
106,1405,2.1315789222717285,16,-4.459999993443489,6.790000036358833,58,14.368342399597168,0.01703638583421707,0.9649,5e-05,0.9420850000000002
107,1414,2.297450304031372,9,-4.900000000372529,6.790000036358833,58,40.788448333740234,0.03425070643424988,0.9647,5e-05,0.9417137499999999
108,1434,3.28004789352417,20,-4.469999995082617,6.790000036358833,58,15.104884147644043,0.0358898788690567,0.9642,5e-05,0.94088875
109,1447,2.513704299926758,13,-4.689999997615814,6.790000036358833,58,14.683858871459961,0.029764246195554733,0.9639,5e-05,0.9403525000000001
110,1449,1.1829299926757812,2,-5.0,6.790000036358833,58,66.90857696533203,0.06181000545620918,0.9638,5e-05,0.9402699999999999
111,1464,3.0970683097839355,15,-4.7099999990314245,6.790000036358833,58,28.520000457763672,0.03059818223118782,0.9635,5e-05,0.9396512499999999
112,1477,2.3978986740112305,13,-4.659999996423721,6.790000036358833,58,27.551523208618164,0.03246809169650078,0.9631,5e-05,0.9391150000000001
113,1488,2.5981743335723877,11,-4.78999999910593,6.790000036358833,58,67.83367156982422,0.02873721532523632,0.9629,5e-05,0.9386612500000001
114,1498,2.1974542140960693,10,-4.8099999986588955,6.790000036358833,58,28.257034301757812,0.027938511222600937,0.9626,5e-05,0.93824875
115,1507,1.9975862503051758,9,-4.849999999627471,6.790000036358833,58,27.885604858398438,0.052167244255542755,0.9624,5e-05,0.9378775
116,1520,2.314492702484131,13,-4.609999995678663,6.790000036358833,58,39.8188362121582,0.030572015792131424,0.9621,5e-05,0.9373412499999998
117,1538,2.9807486534118652,18,-4.479999994859099,6.790000036358833,58,2.7942283153533936,0.031683437526226044,0.9616,5e-05,0.9365987500000001
118,1565,5.311837434768677,27,-4.469999998807907,6.790000036358833,58,27.102327346801758,0.03644150495529175,0.9609,5e-05,0.9354850000000001
119,1577,2.047705888748169,12,-4.699999997392297,6.790000036358833,58,14.400840759277344,0.024587273597717285,0.9606,5e-05,0.9349899999999998
