episode,timesteps,time_alive,ep_length,reward,best_reward,best_ep_length,train/loss,train/learning_rate,rollout/exploration_rate
1,30,61.69693088531494,30,9.800000011920929,9.800000011920929,30,,,0.9998085999999999
2,52,3.780834436416626,22,-4.449999995529652,9.800000011920929,30,,,0.9996633999999999
3,62,2.047773599624634,10,-4.839999999850988,9.800000011920929,30,,,0.9995974000000002
4,75,2.1806161403656006,13,-4.689999997615814,9.800000011920929,30,,,0.9995115999999998
5,77,1.1332895755767822,2,-5.0,9.800000011920929,30,,,0.9994983999999999
6,82,1.1479992866516113,5,-4.889999998733401,9.800000011920929,30,,,0.9994654000000001
7,94,2.0989720821380615,12,-4.739999998360872,9.800000011920929,30,,,0.9993861999999999
8,96,1.132068157196045,2,-5.0,9.800000011920929,30,,,0.999373
9,101,1.132272720336914,5,-4.929999999701977,9.800000011920929,30,,,0.9993400000000001
10,112,2.0491504669189453,11,-4.78999999910593,9.800000011920929,30,,,0.9992673999999998
11,134,3.8283002376556396,22,-4.4799999967217445,9.800000011920929,30,,,0.9991222000000001
12,160,4.64619517326355,26,-4.449999997392297,9.800000011920929,30,,,0.9989505999999999
13,198,5.061838150024414,38,-0.27000001072883606,9.800000011920929,38,,,0.9986998
14,224,4.046149253845215,26,-4.249999992549419,9.800000011920929,38,,,0.9985282000000002
15,236,2.197540283203125,12,-4.78999999910593,9.800000011920929,38,,,0.9984490000000001
16,291,8.208578824996948,55,4.470000026747584,9.800000011920929,55,,,0.9980859999999999
17,304,2.1660709381103516,13,-4.689999997615814,9.800000011920929,55,,,0.9980002
18,344,5.243383169174194,40,-3.7099999859929085,9.800000011920929,55,,,0.9977362000000001
19,370,3.7972233295440674,26,-4.199999991804361,9.800000011920929,55,,,0.9975645999999999
20,384,2.2472167015075684,14,-4.649999996647239,9.800000011920929,55,,,0.9974721999999998
21,443,9.590853929519653,59,-0.5500000268220901,9.800000011920929,59,,,0.9970828
22,459,2.3979337215423584,16,-4.459999993443489,9.800000011920929,59,,,0.9969771999999999
23,499,5.394793510437012,40,-3.7899999879300594,9.800000011920929,59,,,0.9967132
24,502,1.1328706741333008,3,-4.949999999254942,9.800000011920929,59,,,0.9966934000000002
25,536,4.646031379699707,34,-3.879999987781048,9.800000011920929,59,,,0.9964689999999999
26,550,2.1466479301452637,14,-4.639999996870756,9.800000011920929,59,,,0.9963765999999998
27,602,8.24306344985962,52,-3.659999990835786,9.800000011920929,59,,,0.9960333999999998
28,604,1.1314013004302979,2,-5.0,9.800000011920929,59,,,0.9960201999999999
29,609,1.3835241794586182,5,-4.929999999701977,9.800000011920929,59,,,0.9959872000000001
30,652,5.961172819137573,43,-3.5499999839812517,9.800000011920929,59,,,0.9957033999999999
31,687,5.444711685180664,35,-4.029999991878867,9.800000011920929,59,,,0.9954723999999999
32,689,1.1314342021942139,2,-5.0,9.800000011920929,59,,,0.9954591999999999
33,694,1.1326124668121338,5,-4.929999999701977,9.800000011920929,59,,,0.9954262
34,706,2.0312469005584717,12,-4.699999997392297,9.800000011920929,59,,,0.995347
35,726,3.7635467052459717,20,-4.619999999180436,9.800000011920929,59,,,0.9952150000000002
36,728,1.1325712203979492,2,-5.0,9.800000011920929,59,,,0.9952018000000001
37,733,1.398228406906128,5,-4.889999998733401,9.800000011920929,59,,,0.9951688
38,755,3.379426956176758,22,-4.399999994784594,9.800000011920929,59,,,0.9950236000000001
39,768,2.4148106575012207,13,-4.699999997392297,9.800000011920929,59,,,0.9949377999999999
40,781,1.9646892547607422,13,-4.609999995678663,9.800000011920929,59,,,0.994852
41,795,2.265063762664795,14,-4.609999995678663,9.800000011920929,59,,,0.9947595999999999
42,809,2.2647876739501953,14,-4.599999995902181,9.800000011920929,59,,,0.9946672000000002
43,819,2.163788318634033,10,-4.839999999850988,9.800000011920929,59,,,0.9946012000000001
44,845,3.4136555194854736,26,-4.209999991580844,9.800000011920929,59,,,0.9944295999999999
45,872,3.630280017852783,27,-4.159999990835786,9.800000011920929,59,,,0.9942513999999999
46,884,2.364898204803467,12,-4.749999998137355,9.800000011920929,59,,,0.9941721999999998
47,895,2.0640740394592285,11,-4.799999998882413,9.800000011920929,59,,,0.9940996
48,907,2.181593894958496,12,-4.78999999910593,9.800000011920929,59,,,0.9940203999999999
49,919,2.363673448562622,12,-4.78999999910593,9.800000011920929,59,,,0.9939412000000002
50,941,3.515399694442749,22,-4.489999996498227,9.800000011920929,59,,,0.993796
51,978,5.361074924468994,37,-3.899999989196658,9.800000011920929,59,,,0.9935518
52,1033,8.224963665008545,55,-3.3899999856948853,9.800000011920929,59,,,0.9931888000000002
53,1045,2.213944435119629,12,-4.699999997392297,9.800000011920929,59,,,0.9931096
54,1057,1.964967966079712,12,-4.699999997392297,9.800000011920929,59,,,0.9930304
55,1070,2.1811864376068115,13,-4.739999998360872,9.800000011920929,59,,,0.9929446000000001
56,1093,3.830109119415283,23,-4.439999995753169,9.800000011920929,59,,,0.9927928000000001
57,1117,3.5129809379577637,24,-4.30999999307096,9.800000011920929,59,,,0.9926343999999999
58,1147,4.4631524085998535,30,-4.139999991282821,9.800000011920929,59,,,0.9924364000000001
59,1159,2.0318455696105957,12,-4.739999998360872,9.800000011920929,59,,,0.9923572
60,1183,3.895594835281372,24,-4.339999994263053,9.800000011920929,59,,,0.9921987999999999
61,1216,5.161954164505005,33,-4.089999992400408,9.800000011920929,59,,,0.9919809999999999
62,1267,7.509591102600098,51,-3.5799999870359898,9.800000011920929,59,,,0.9916444000000001
63,1280,1.9481384754180908,13,-4.609999995678663,9.800000011920929,59,,,0.9915586000000002
64,1318,5.277857065200806,38,-3.8399999886751175,9.800000011920929,59,,,0.9913078
65,1335,2.465348243713379,17,-4.4499999936670065,9.800000011920929,59,,,0.9911956
66,1347,2.0310685634613037,12,-4.739999998360872,9.800000011920929,59,,,0.9911163999999999
67,1394,7.592358589172363,47,-3.839999992400408,9.800000011920929,59,,,0.9908062000000002
68,1409,2.1646981239318848,15,-4.599999995902181,9.800000011920929,59,,,0.9907071999999999
69,1421,2.3649048805236816,12,-4.78999999910593,9.800000011920929,59,,,0.9906280000000002
70,1460,5.727526426315308,39,-3.9699999913573265,9.800000011920929,59,,,0.9903706000000001
71,1486,3.746607542037964,26,-4.209999991580844,9.800000011920929,59,,,0.9901989999999999
72,1510,3.496509313583374,24,-4.3499999940395355,9.800000011920929,59,,,0.9900406000000002
73,1524,2.3149590492248535,14,-4.649999996647239,9.800000011920929,59,,,0.9899482000000001
74,1560,5.494508981704712,36,-4.019999992102385,9.800000011920929,59,,,0.9897106000000001
75,1583,3.7465872764587402,23,-4.439999995753169,9.800000011920929,59,,,0.9895588000000002
76,1595,2.197314739227295,12,-4.739999998360872,9.800000011920929,59,,,0.9894796000000001
77,1636,6.094536066055298,41,-3.8199999891221523,9.800000011920929,59,,,0.989209
78,1638,1.1316235065460205,2,-5.0,9.800000011920929,59,,,0.9891958
79,1645,1.3490049839019775,7,-4.829999998211861,9.800000011920929,59,,,0.9891496000000002
80,1659,1.9653866291046143,14,-4.569999994710088,9.800000011920929,59,,,0.9890572000000001
81,1675,2.4806814193725586,16,-4.589999996125698,9.800000011920929,59,,,0.9889515999999999
82,1687,2.182250499725342,12,-4.739999998360872,9.800000011920929,59,,,0.9888723999999999
83,1701,2.0974273681640625,14,-4.559999994933605,9.800000011920929,59,,,0.9887800000000001
84,1725,3.746575117111206,24,-4.339999994263053,9.800000011920929,59,,,0.9886216
85,1739,2.0481131076812744,14,-4.51999999396503,9.800000011920929,59,,,0.9885291999999999
86,1742,1.1318778991699219,3,-4.949999999254942,9.800000011920929,59,,,0.9885094000000001
87,1747,1.3827095031738281,5,-4.929999999701977,9.800000011920929,59,,,0.9884763999999998
88,1764,1.9144840240478516,17,-4.3699999917298555,9.800000011920929,59,,,0.9883641999999999
89,1776,2.18051815032959,12,-4.78999999910593,9.800000011920929,59,,,0.9882849999999999
90,1778,1.1328558921813965,2,-5.0,9.800000011920929,59,,,0.9882718000000001
91,1782,1.1487922668457031,4,-4.939999999478459,9.800000011920929,59,,,0.9882454000000002
92,1812,5.362043619155884,30,-4.319999996572733,9.800000011920929,59,,,0.9880473999999999
93,1836,3.779951333999634,24,-4.30999999307096,9.800000011920929,59,,,0.9878890000000001
94,1850,2.165148973464966,14,-4.639999996870756,9.800000011920929,59,,,0.9877966
95,1876,3.812844753265381,26,-4.199999991804361,9.800000011920929,59,,,0.9876249999999999
96,1888,1.963954210281372,12,-4.699999997392297,9.800000011920929,59,,,0.9875457999999998
97,1902,2.3320748805999756,14,-4.649999996647239,9.800000011920929,59,,,0.9874534000000001
98,1916,2.097581624984741,14,-4.649999996647239,9.800000011920929,59,,,0.987361
99,1941,3.812915086746216,25,-4.2999999932944775,9.800000011920929,59,,,0.987196
