episode,timestep,reward,length
1,23,6.190000057220459,23
2,33,-4.839999999850988,10
3,58,-3.2900000121444464,25
4,71,-4.649999996647239,13
5,96,-4.289999993517995,25
6,110,-4.699999997392297,14
7,122,-4.78999999910593,12
8,154,-0.6800000183284283,32
9,179,-4.2999999932944775,25
10,204,-4.339999994263053,25
11,254,5.280000004917383,50
12,266,-4.739999998360872,12
13,288,-4.489999996498227,22
14,300,-4.739999998360872,12
15,314,-4.689999997615814,14
16,323,-4.849999999627471,9
17,338,-4.599999995902181,15
18,365,-4.199999991804361,27
19,376,-4.839999999850988,11
20,400,-4.339999994263053,24
21,417,-4.419999992474914,17
22,431,-4.689999997615814,14
23,442,-4.839999999850988,11
24,464,-4.449999995529652,22
25,478,-4.72999999858439,14
26,500,-4.529999997466803,22
27,514,-4.689999997615814,14
28,529,-4.549999995157123,15
29,554,-4.2999999932944775,25
30,577,-4.4799999967217445,23
31,592,-4.549999995157123,15
32,627,-4.079999992623925,35
33,677,-3.7199999913573265,50
34,679,-5.0,2
35,688,-4.649999994784594,9
36,726,-3.7599999867379665,38
37,742,-4.509999994188547,16
38,758,-4.509999994188547,16
39,775,-4.409999992698431,17
40,841,4.250000016763806,66
41,863,-4.51999999769032,22
42,876,-4.609999995678663,13
43,908,-4.179999994114041,32
44,934,-4.249999992549419,26
45,955,-4.539999997243285,21
46,970,-4.599999995902181,15
47,984,-4.639999996870756,14
48,998,-4.559999994933605,14
49,1009,-4.719999996945262,11
50,1062,-3.7799999937415123,53
51,1081,-4.55999999679625,19
52,1102,-4.409999994561076,21
53,1134,-4.019999990239739,32
54,1169,-4.079999992623925,35
55,1189,-4.419999994337559,20
56,1199,-4.799999998882413,10
57,1226,-4.309999994933605,27
58,1277,-3.3999999836087227,51
59,1300,-4.399999994784594,23
60,1310,-4.799999998882413,10
61,1322,-4.749999998137355,12
62,1324,-5.0,2
63,1328,-4.980000000447035,4
64,1346,-4.55999999679625,18
65,1349,-4.949999999254942,3
66,1356,-4.789999997243285,7
67,1366,-4.759999997913837,10
68,1377,-4.759999997913837,11
69,1398,-4.459999995306134,21
70,1445,-3.489999983459711,47
71,1456,-4.799999998882413,11
72,1515,-3.3099999837577343,59
73,1525,-4.799999998882413,10
74,1527,-5.0,2
75,1533,-4.879999998956919,6
